"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","100nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1","1","STATUS_LED","","","","LED_SMD:LED_0805_2012Metric",""
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4085","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","SWD","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J3","1","I2C","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J4","1","UART","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"R1,R2","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric",""
"R3","1","330","","","","Resistor_SMD:R_0805_2012Metric",""
"R4,R5","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric",""
"U1","1","STM32G431KBTx","","","","Package_QFP:LQFP-32_7x7mm_P0.8mm","https://www.st.com/resource/en/datasheet/stm32g431kb.pdf"
